Wall time,Step,Value
1599241486,0,0.516388834
1599241494,1,0.675281167
1599241499,2,0.76462549
1599241504,3,0.767096639
1599241509,4,0.801622152
1599241514,5,0.810008407
1599241519,6,0.822009504
1599241525,7,0.831902623
1599241530,8,0.812360406
1599241536,9,0.818925142
1599241541,10,0.850479186
1599241548,11,0.851435959
1599241553,12,0.868576109
1599241558,13,0.88650322
1599241563,14,0.88009876
1599241568,15,0.883304954
1599241573,16,0.84336561
1599241578,17,0.891640782
1599241583,18,0.899476111
1599241588,19,0.879037797
1599241593,20,0.898306787
1599241599,21,0.906454325
1599241604,22,0.913539469
1599241609,23,0.923280716
1599241615,24,0.925085664
1599241620,25,0.922498822
1599241625,26,0.910775602
1599241630,27,0.922961533
1599241635,28,0.926510453
1599241640,29,0.93092823
1599241645,30,0.931772768
1599241651,31,0.934424639
1599241656,32,0.935241818
1599241661,33,0.928878546
1599241666,34,0.934014618
1599241671,35,0.932314336
1599241676,36,0.931970894
1599241681,37,0.931774557
1599241686,38,0.941071749
1599241692,39,0.940349936
1599241697,40,0.94027704
1599241703,41,0.937651098
1599241708,42,0.938153028
1599241713,43,0.937919319
1599241718,44,0.936903059
1599241723,45,0.938022554
1599241728,46,0.945160449
1599241733,47,0.943242431
1599241738,48,0.945618629
1599241743,49,0.942639709
1599241748,50,0.944658518
1599241755,51,0.951039553
1599241760,52,0.946808517
1599241765,53,0.949037433
1599241770,54,0.944574714
1599241775,55,0.949694753
1599241780,56,0.951227129
1599241785,57,0.938475549
1599241790,58,0.935761511
1599241795,59,0.945372939
1599241800,60,0.944105804
1599241806,61,0.947926641
1599241811,62,0.949405015
1599241816,63,0.95081085
1599241821,64,0.951604962
1599241826,65,0.95345819
1599241831,66,0.951707959
1599241837,67,0.94951123
1599241842,68,0.952747881
1599241847,69,0.953451157
1599241852,70,0.948634565
1599241858,71,0.950274408
1599241863,72,0.946002126
1599241868,73,0.955288827
1599241873,74,0.953646779
1599241878,75,0.952773392
1599241883,76,0.953945696
1599241888,77,0.951381624
1599241893,78,0.952982962
1599241899,79,0.954645574
1599241904,80,0.9519853
1599241910,81,0.948830664
1599241915,82,0.95501858
1599241920,83,0.951385736
1599241925,84,0.956109762
