Wall time,Step,Value
1599325743,0,0.532748878
1599325752,1,0.388982922
1599325757,2,0.312083244
1599325763,3,0.25837481
1599325769,4,0.244665757
1599325774,5,0.215771794
1599325780,6,0.188031718
1599325786,7,0.180793509
1599325792,8,0.162134066
1599325798,9,0.152909145
1599325804,10,0.125705972
1599325811,11,0.156017661
1599325817,12,0.121128365
1599325823,13,0.117337622
1599325829,14,0.130730376
1599325835,15,0.119871579
1599325840,16,0.096740961
1599325846,17,0.088190787
1599325852,18,0.087403506
1599325858,19,0.083380312
1599325864,20,0.075466067
1599325871,21,0.079809859
1599325876,22,0.071035057
1599325882,23,0.078392595
1599325888,24,0.076482095
1599325894,25,0.10495428
1599325899,26,0.073728837
1599325905,27,0.068936311
1599325911,28,0.117512599
1599325917,29,0.078893952
1599325922,30,0.076205313
1599325930,31,0.0683541
1599325935,32,0.06777484
1599325941,33,0.065297395
1599325947,34,0.068353258
1599325953,35,0.068459138
1599325958,36,0.068235137
1599325964,37,0.067099385
1599325970,38,0.06281098
1599325976,39,0.059044983
1599325981,40,0.056922052
1599325988,41,0.061972074
1599325994,42,0.064112529
1599326000,43,0.062348537
1599326005,44,0.061921626
1599326011,45,0.063561335
1599326017,46,0.0591124
1599326023,47,0.059117995
1599326028,48,0.058509361
1599326034,49,0.060891155
1599326040,50,0.058509506
1599326047,51,0.060840275
1599326053,52,0.056426425
1599326058,53,0.060245194
1599326064,54,0.061223477
1599326070,55,0.056484882
1599326076,56,0.059028074
1599326081,57,0.054725241
1599326087,58,0.055981133
1599326093,59,0.073661044
1599326099,60,0.073300578
1599326106,61,0.06086674
1599326112,62,0.053582989
1599326117,63,0.054817494
1599326123,64,0.053281751
1599326129,65,0.054258965
1599326135,66,0.057765495
1599326140,67,0.053313855
1599326146,68,0.052396908
1599326152,69,0.051484246
1599326158,70,0.053997595
1599326165,71,0.055719547
1599326171,72,0.051448174
1599326176,73,0.050150577
1599326182,74,0.049726937
1599326188,75,0.051709156
1599326193,76,0.050638519
1599326199,77,0.04967073
1599326205,78,0.048365597
1599326211,79,0.048803497
1599326216,80,0.053077329
1599326223,81,0.055011507
1599326229,82,0.05946704
